,title,desc,link,total_num_of_repos,best_repo,stars
89,Linux,Linux is an open source kernel.,https://github.com/topics/linux,41762,the-art-of-command-line,137k
90,Localization,Translation of a software interface and messages to another language plus to work with local cultures.,https://github.com/topics/localization,3274,PythonRobotics,18.8k
91,Lua,"Lua is a lightweight, embeddable scripting language.",https://github.com/topics/lua,12514,neovim,66.3k
92,Machine learning,Machine learning is a way of modeling and interpreting data that allows a piece of software to respond intelligently.,https://github.com/topics/machine-learning,106277,tensorflow,175k
93,macOS,macOS is Apple's operating system.,https://github.com/topics/macos,17674,flutter,154k
94,Markdown,Markdown is a lightweight markup language.,https://github.com/topics/markdown,18183,jekyll,46.7k
95,Mastodon,"Mastodon is a free, decentralized, open source microblogging network.",https://github.com/topics/mastodon,1113,mastodon,41.8k
96,Material Design,Material Design is a unified system of theory and tools for creating digital experiences developed by Google.,https://github.com/topics/material-design,7897,flutter,154k
97,MATLAB,MATLAB is a programming platform for numerical computation and visualization.,https://github.com/topics/matlab,11457,PRMLT,5.8k
98,Maven,Maven is a build automation tool used primarily for Java projects.,https://github.com/topics/maven,15153,jib,12.8k
99,Minecraft,Minecraft is a sandbox video game.,https://github.com/topics/minecraft,22704,Craft,9.8k
100,Mobile,"Mobile apps, mobile OS, mobile databases, & mobile testing frameworks.",https://github.com/topics/mobile,9796,flutter,154k
101,Monero,"Monero is a private, fungible, open source, decentralized cryptocurrency.",https://github.com/topics/monero,652,monero,7.9k
102,MongoDB,MongoDB is an open source NoSQL document-oriented database.,https://github.com/topics/mongodb,80324,mall,66.4k
103,Mongoose,Mongoose is a MongoDB object modeling tool designed to work in an asynchronous environment.,https://github.com/topics/mongoose,26282,node-elm,12k
104,Monitoring,"Monitor the impact of your code changes. Measure performance, track errors, and analyze your application.",https://github.com/topics/monitoring,8388,netdata,63.2k
105,MvvmCross,"The .NET MVVM framework for cross-platform solutions, including Xamarin.iOS, Xamarin.Android, Windows, and Mac.",https://github.com/topics/mvvmcross,97,MvvmCross,3.8k
106,MySQL,MySQL is an open source relational database management system.,https://github.com/topics/mysql,57553,JavaGuide,134k
107,NativeScript,NativeScript is a JavaScript-native mobile framework.,https://github.com/topics/nativescript,791,NativeScript,22.6k
108,Nim,"Nim is a statically typed, compiled, garbage-collected systems programming language.",https://github.com/topics/nim,2066,Nim,15k
109,Natural language processing,Natural language processing (NLP) is the study of how computers and humans interact.,https://github.com/topics/nlp,24132,transformers,102k
110,Node.js,Node.js is a tool for executing JavaScript in a variety of environments.,https://github.com/topics/nodejs,210936,freeCodeCamp,368k
111,NoSQL,A NoSQL database refers to a database whose storage format is modeled differently from relational databases.,https://github.com/topics/nosql,2693,dbeaver,32.2k
112,npm,npm is a package manager for JavaScript included with Node.js.,https://github.com/topics/npm,17075,nodebestpractices,89.5k
113,Objective-C,"Objective-C is general purpose, object-oriented programming language used for macOS and iOS operating systems.",https://github.com/topics/objective-c,5730,awesome-ios,43k
114,OpenGL,OpenGL is a software interface that allows a programmer to communicate with graphics hardware.,https://github.com/topics/opengl,10759,alacritty,46.9k
115,Operating system,An operating system is a program that manages a computer's programs and applications.,https://github.com/topics/operating-system,4451,interview,29.1k
116,P2P,Peer-to-Peer applications are decentralized or distributed.,https://github.com/topics/p2p,2903,bitcoin,69.7k
117,Package manager,A package manager is a set of tools that automates and manages computer software.,https://github.com/topics/package-manager,1707,yarn,41.2k
118,Parsing,Parsing is the process of analyzing a string of symbols conforming to the rules of a formal grammar.,https://github.com/topics/parsing,2935,CyberChef,21.3k
119,Perl,Perl is a highly capable and feature-rich programming language.,https://github.com/topics/perl,4280,Command-line-text-processing,10.1k
120,Phaser,"Phaser is a fun, free, and fast 2D game framework for making HTML5 games for desktop and mobile web browsers.",https://github.com/topics/phaser,1366,phaser,34.5k
121,PHP,PHP is a popular general-purpose scripting language that works particularly well for server-side web development.,https://github.com/topics/php,106709,laravel,73.6k
122,PICO-8,"PICO-8 is a fantasy console for making, sharing and playing tiny games and other computer programs in Lua.",https://github.com/topics/pico-8,405,pyxel,11.9k
123,Pixel Art,Pixel art is a form of digital art where images are created and edited at the pixel level.,https://github.com/topics/pixel-art,1437,aseprite,21.6k
124,PostgreSQL,PostgreSQL is an open source database system.,https://github.com/topics/postgresql,38438,supabase,50.9k
125,Project management,Project management is about building scope and executing on the project's goals.,https://github.com/topics/project-management,1800,focalboard,15.2k
126,Publishing,Publishing is the dissemination of making information available to the general public through various mediums.,https://github.com/topics/publishing,738,Ghost,43.3k
127,PWA,Progressive Web Apps are traditional web sites that are enhanced with native like features.,https://github.com/topics/pwa,9103,angular,88.4k
128,Python,Python is a dynamically typed programming language.,https://github.com/topics/python,371777,system-design-primer,221k
129,Qt,"Qt, pronounced ""cute"", is a cross-platform application development framework.",https://github.com/topics/qt,7113,flameshot,21k
130,R,R is a free programming language and software environment for statistical computing and graphics.,https://github.com/topics/r,30606,ML-For-Beginners,48.7k
131,Rails,Ruby on Rails (Rails) is a web application framework written in Ruby.,https://github.com/topics/rails,11913,rails,52.9k
132,Raspberry Pi,The Raspberry Pi is a popular single-board computer.,https://github.com/topics/raspberry-pi,16684,core,60.7k
133,Ratchet,Ratchet is a set of libraries to handle WebSockets asynchronously in PHP.,https://github.com/topics/ratchet,91,ratchet,14.5k
134,React,React is an open source JavaScript library used for designing user interfaces.,https://github.com/topics/react,304768,freeCodeCamp,368k
135,React Native,React Native is a JavaScript mobile framework developed by Facebook.,https://github.com/topics/react-native,40638,react-native,110k
136,ReactiveUI,"ReactiveUI is a composable, cross-platform model-view-viewmodel framework for all .NET platforms.",https://github.com/topics/reactiveui,140,CodeHub,23k
137,Redux,Redux is a predictable state container for JavaScript apps.,https://github.com/topics/redux,57042,redux,59.6k
138,REST API,A representational state transfer (REST) API is a way to provide compatibility between computer systems on the internet.,https://github.com/topics/rest-api,36090,hoppscotch,51.7k
139,Ruby,Ruby is a scripting language designed for simplified object-oriented programming.,https://github.com/topics/ruby,33294,awesome-interview-questions,55.5k
140,Rust,Rust is a systems programming language created by Mozilla.,https://github.com/topics/rust,45329,deno,89.6k
141,Sass,Sass is a stable extension to classic CSS.,https://github.com/topics/sass,30864,bootstrap,164k
142,Scala,Scala is an object-oriented programming language.,https://github.com/topics/scala,13821,spark,35.8k
143,scikit-learn,scikit-learn is a Python module for machine learning.,https://github.com/topics/scikit-learn,7826,ML-For-Beginners,48.7k
144,Software-defined networking,"Software-defined networking (SDN) is an architecture for programmable, centrally managed networks.",https://github.com/topics/sdn,510,ZeroTierOne,11.3k
145,Security,"Cybersecurity is the protection of computer hardware, software, and data from theft, damage, and malicious intent.",https://github.com/topics/security,19919,the-book-of-secret-knowledge,98.8k
146,Server,A server is a program made to process requests and deliver data to clients.,https://github.com/topics/server,12823,gin,69k
147,Serverless,Serverless architecture refers to apps that depend on third-party services or custom code.,https://github.com/topics/serverless,11301,github-readme-stats,55.7k
148,Shell,"A shell is a command-line tool, designed to be run by the Unix shell.",https://github.com/topics/shell,17735,ohmyzsh,159k
149,Sketch,"Sketch is a vector graphics editor for Apple's macOS, used primarily for user interface and icon design.",https://github.com/topics/sketch,1270,react-sketchapp,15k
150,SpaceVim,SpaceVim is a community-driven distribution of the vim editor that allows managing your plugins in layers.,https://github.com/topics/spacevim,66,SpaceVim,19.9k
151,Spring Boot,Spring Boot is a coding and configuration model for Java applications.,https://github.com/topics/spring-boot,49281,spring-boot,67.5k
152,SQL,"SQL is a standard language for storing, retrieving and manipulating data in databases.",https://github.com/topics/sql,36050,devops-exercises,43.5k
153,Storybook,Storybook is a UI development environment for your UI components.,https://github.com/topics/storybook,4428,storybook,78.9k
154,Support,Get your team and customers the help they need.,https://github.com/topics/support,736,erpnext,13.8k
155,Swift,"Swift is a modern programming language focused on safety, performance, and expressivity.",https://github.com/topics/swift,40158,free-programming-books-zh_CN,103k
156,Symfony,Symfony is a set of reusable PHP components and a web framework.,https://github.com/topics/symfony,6915,symfony,28.4k
157,Telegram,"Telegram is a non-profit, cloud-based instant messaging service.",https://github.com/topics/telegram,11458,tqdm,24.9k
158,Tensorflow,TensorFlow is an open source software library for numerical computation.,https://github.com/topics/tensorflow,30258,tensorflow,175k
159,Terminal,The terminal is an interface in which you can type and execute text-based commands.,https://github.com/topics/terminal,10195,ohmyzsh,159k
160,Terraform,"An infrastructure-as-code tool for building, changing, and versioning infrastructure safely and efficiently.",https://github.com/topics/terraform,17901,devops-exercises,43.5k
161,Testing,Eliminate bugs and ship with more confidence by adding these tools to your workflow.,https://github.com/topics/testing,17101,nodebestpractices,89.5k
162,Twitter,"Twitter is an online news and social networking service where users post and interact with messages, known as “Tweets”.",https://github.com/topics/twitter,10419,huginn,38.5k
163,TypeScript,TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.,https://github.com/topics/typescript,168842,vscode,147k
164,Ubuntu,Ubuntu is a Linux-based operating system.,https://github.com/topics/ubuntu,8336,openvpn-install,17.1k
165,Unity,"Unity is a game engine used to create 2D/3D video games, and simulations for computers, consoles, and mobile devices.",https://github.com/topics/unity,24599,ILSpy,17.9k
166,Unreal Engine,"Unreal Engine is used to create awesome games, and experiences for PC, mobile, console, VR, and AR.",https://github.com/topics/unreal-engine,1306,AirSim,14.5k
167,Vagrant,Vagrant is an open-source software product for building and maintaining portable virtual software development environments.,https://github.com/topics/vagrant,4739,vagrant,25.2k
168,Vim,Vim is a console-run text editor program.,https://github.com/topics/vim,11896,neovim,66.3k
169,Virtual reality,Virtual reality is an artificial environment displayed through digital means.,https://github.com/topics/virtual-reality,1594,three.js,92.2k
170,Vue.js,Vue.js is a JavaScript framework for building interactive web applications.,https://github.com/topics/vue,51092,vue,204k
171,Wagtail,Wagtail is an open source CMS written in Python and built on the Django web framework.,https://github.com/topics/wagtail,368,wagtail,14.8k
172,Web Components,Web Components are a set of web platform APIs developers can use to create custom HTML tags.,https://github.com/topics/web-components,1944,storybook,78.9k
173,Web app,A web application is any computer program that performs a specific function by using a web browser as its client.,https://github.com/topics/webapp,14528,system-design-primer,221k
174,Webpack,Webpack is a bundler that takes modules with dependencies and creates static assets.,https://github.com/topics/webpack,27398,vue-element-admin,82.5k
175,Windows,Windows is Microsoft's GUI-based operating system.,https://github.com/topics/windows,23272,flutter,154k
176,WordPlate,WordPlate is a modern WordPress stack which simplifies WordPress development.,https://github.com/topics/wordplate,12,wordplate,1.9k
177,WordPress,"WordPress is a popular content management system, used for websites and blogs.",https://github.com/topics/wordpress,19840,nginxconfig.io,25.7k
178,Xamarin,Xamarin is a platform for developing iOS and Android applications.,https://github.com/topics/xamarin,4037,eShopOnContainers,23.3k
179,XML,XML is subset of SGML (Standard Generalized Markup Language) used to store and transport data.,https://github.com/topics/xml,10699,sheetjs,32.9k
